wheel,level,kannada,roman,english,literal,sthayi,also,note,notes,song,by,source,yt,start
bhava,2,ಕೆದಕು,kedaku,Inquisitive,,,ಜಿಜ್ಞಾಸೆ|jijñāse|the wish to know ;; ಕುತೂಹಲ|kutūhala|curiosity ;; ಶೋಧ|śōdha|searching out,"ಕೆದಕು is to poke at a thing that was sitting quietly, and it keeps the faint rudeness English <i>inquisitive</i> also carries. ಜಿಜ್ಞಾಸೆ is the same impulse pointed at ideas rather than at people.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಕೆದಕು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಎಲ್ಲಿರುವೆ ಮನವ ಕಾಡುವ ರೂಪಸಿಯೇ,,ಬಯಲು ದಾರಿ,Dkm1xvK7EUE,28
bhava,1,ಹೆಮ್ಮೆ,hemme,Proud,,,"ಅಭಿಮಾನ|abhimāna|pride as loyalty ;; ಗರ್ವ|garva|pride, tipping toward vanity ;; ಅಹಂಕಾರ|ahaṅkāra|the pride that has gone bad ;; ಗತ್ತು|gattu|swagger","Kannada resists a single word for pride: ಹೆಮ್ಮೆ is warm pride in someone, ಅಭಿಮಾನ is pride-as-loyalty, ಅಹಂಕಾರ is the pride that has gone bad. English collapses all three.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಹೆಮ್ಮೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಹುಟ್ಟಿದರೆ ಕನ್ನಡ ನಾಡಲ್ಲಿ ಹುಟ್ಟಬೇಕು,ಹಂಸಲೇಖ · ರಾಜಕುಮಾರ್,ಆಕಸ್ಮಿಕ · 1993,dSqQkqqq8fM,47
bhava,2,ಸಾರ್ಥಕ,sārthaka,Successful,,,,"ಯಶಸ್ವಿ is the outcome: you won. ಸಾರ್ಥಕ is the feeling: it had meaning, it was worth it. Only one of those belongs on an emotion wheel.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಸಾರ್ಥಕ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಎದೆ ತುಂಬಿ ಹಾಡಿದೆನು,,ಭಾವಗೀತೆ,H-99yoLymF8,28
bhava,2,ಆತ್ಮವಿಶ್ವಾಸ,ātma-viśvāsa,Confident,,,,Literally 'self-trust'. Kannada builds confidence out of the same root as trusting another person.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಆತ್ಮವಿಶ್ವಾಸ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಆಗದು ಎಂದು ಕೈಲಾಗದು ಎಂದು,ರಾಜನ್-ನಾಗೇಂದ್ರ · ಪಿ.ಬಿ.ಎಸ್,ಬಂಗಾರದ ಮನುಷ್ಯ · 1972,-Oryie1c-gs,50
bhava,1,ಒಪ್ಪಿಗೆ,oppige,Accepted,,,,"Kannada has no noun for the felt state of being accepted. You say it as something others did: ನನ್ನನ್ನು ಒಪ್ಪಿಕೊಂಡರು, they took me in. The feeling lives in a verb.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಒಪ್ಪಿಗೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಜೊತೆಯಲಿ ಜೊತೆ ಜೊತೆಯಲಿ,ಇಳಯರಾಜ · ಎಸ್.ಪಿ.ಬಿ,ಗೀತಾ · 1981,8HbwsAOfoRY,36
bhava,2,ಗೌರವ,gaurava,Respected,,,,"Something you give, actively, rather than something you passively have.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಗೌರವ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಜಗದೋದ್ಧಾರನ,,ಪುರಂದರದಾಸರ ಪದ,P-Z90NNbD6U,28
bhava,2,ಮನ್ನಣೆ,mannaṇe,Valued,,,,ಮೌಲ್ಯ is price. ಮನ್ನಣೆ is being recognised and given your due: the thing people leave jobs for the lack of.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಮನ್ನಣೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ನಿನ್ನಿಂದಲೇ ನಿನ್ನಿಂದಲೇ,,ಮಿಲನ,-xmRjO2G05c,28
bhava,1,ಶಕ್ತಿ,śakti,Powerful,,,,,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಶಕ್ತಿ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಆಕಾಶವೇ ಬೀಳಲಿ ಮೇಲೆ,,ನ್ಯಾಯವೇ ದೇವರು,9dtaiMx6Rl4,32
bhava,2,ಧೈರ್ಯ,dhairya,Courageous,,,ಕೆಚ್ಚು|keccu|embers-courage ;; ಎದೆಗಾರಿಕೆ|edegārike|nerve ;; ದಿಟ್ಟತನ|diṭṭatana|boldness ;; ಛಲ|chala|resolve,"Steadiness under fear. The native alternatives are more physical: ಕೆಚ್ಚು is heat in the chest, ಎದೆಗಾರಿಕೆ is literally chest-having.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಧೈರ್ಯ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಕನ್ನಡ ನಾಡಿನ ವೀರ ರಮಣಿಯ,,ನಾಗರಹಾವು,ziNXOdlPLLE,28
bhava,2,ಹೊಳಹು,hoḷahu,Creative,,,ಸೃಜನಶೀಲತೆ|sṛjanaśīlate|creativity ;; ಕಲ್ಪನೆ|kalpane|imagining ;; ಸ್ಫೂರ್ತಿ|sphūrti|inspiration,The flash: the moment a thing occurs to you. Names the event rather than the faculty.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಹೊಳಹು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,Kavithe Kavithe,ವಿ. ಹರಿಕೃಷ್ಣ · ವಿಜಯ್ ಪ್ರಕಾಶ್,ಗಾಳಿಪಟ · 2008,nlv7XEpVzbM,50
bhava,1,ನೆಮ್ಮದಿ,nemmadi,Peaceful,,,"ಶಾಂತಿ|śānti|peace, as the absence of conflict ;; ಸಮಾಧಾನ|samādhāna|being consoled ;; ನಿರಾಳ|nirāḷa|unclenched","The single most important correction on this wheel. ಶಾಂತಿ is peace as the absence of war: treaties, ceasefires, ಶಾಂತಿ ಸಭೆ. ನೆಮ್ಮದಿ is peace of mind, and it is what people actually pray for.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ನೆಮ್ಮದಿ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ತಂಬೂರಿ ಮೀಟಿದವ,ಕುಲದೀಪ್ ಎಂ. ಪೈ,ಪುರಂದರದಾಸ,uCCaFqRoihQ,30
bhava,2,ಪ್ರೀತಿ,prīti,Loving,,,ಮಮತೆ|mamate|attachment-love ;; ವಾತ್ಸಲ್ಯ|vātsalya|tenderness flowing downward ;; ಅಕ್ಕರೆ|akkare|fondness ;; ಒಲವು|olavu|leaning toward,"The general word, used for parents, friends and lovers without embarrassment. ಮಮತೆ, ವಾತ್ಸಲ್ಯ, ಅಕ್ಕರೆ and ಒಲವು each take a different share of it.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಪ್ರೀತಿ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ನೂರೊಂದು ಜನ್ಮಕು,,ಅಮೆರಿಕಾ ಅಮೆರಿಕಾ,pFt58gtRgiM,28
bhava,2,ಕೃತಜ್ಞತೆ,kṛtajñate,Thankful,,,,Literally 'knowing what was done'. Gratitude as accurate memory.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಕೃತಜ್ಞತೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಕೆರೆಯ ನೀರನು ಕೆರೆಗೆ ಚೆಲ್ಲಿ,,ಪುರಂದರದಾಸರ ಪದ,dcuOrNM45Uw,28
bhava,1,ನಂಬಿಕೆ,nambike,Trusting,,,,"ನಂಬಿಕೆ also means belief, and superstition. Trusting a person and believing a thing are one act.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ನಂಬಿಕೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ನಂಬಿದೆ ನಿನ್ನ ನಾದದೇವತೆಯೇ,,ಸಂಧ್ಯಾರಾಗ,1XIdzVRWveI,32
bhava,2,ಸೂಕ್ಷ್ಮ,sūkṣma,Sensitive,,,,"ಸೂಕ್ಷ್ಮ means fine-grained, subtle-perceiving. Calling someone ಸೂಕ್ಷ್ಮ is praise: unlike English 'sensitive', which is half an accusation.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಸೂಕ್ಷ್ಮ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ನಿನ್ನ ಕಂಗಳ ಕೊಳದಿ,,ಭಾವಗೀತೆ,ZOEJFLZsQmE,28
bhava,2,ಸಲಿಗೆ,salige,Intimate,,,"ಆತ್ಮೀಯತೆ|ātmīyate|closeness ;; ಅನ್ಯೋನ್ಯ|anyōnya|mutual, easy with each other ;; ನಿಕಟ|nikaṭa|near","ಸಲಿಗೆ has no English word. It is the earned licence to be informal with someone: to tease them, take their food, drop the honorific. Intimacy defined as permission, not as feeling.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಸಲಿಗೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಕಿವಿ ಮಾತೊಂದು ಹೇಳಲೇನು,,ಮಿಲನ,Ei_syfExf6Q,28
bhava,1,ಭರವಸೆ,bharavase,Optimistic,,,"ಆಶಾವಾದ|āśāvāda|optimism, as a stance ;; ನಿರೀಕ್ಷೆ|nirīkṣe|expectation ;; ನಂಬಿಕೆ|nambike|trust, belief","ಭರವಸೆ is also the word for a promise or an assurance. Optimism, in Kannada, is something somebody gave you.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಭರವಸೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಅರಳುತಿರು ಜೀವದ ಗೆಳೆಯ,,ಮುಂಗಾರು ಮಳೆ,qzuKFxE672I,32
bhava,2,ಆಸೆ,āse,Hopeful,,,"ಆಶೆ|āśe|hope, the Sanskrit form ;; ಹಂಬಲ|hambala|yearning ;; ಬಯಕೆ|bayake|wish","The plainest possible word: wish, want, hope, all one. Kannada does not separate hoping from wanting.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಆಸೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಒಂದೇ ಒಂದು ಆಸೆಯು,,ಚಿತ್ರಗೀತೆ,gXE3KK0mOeI,28
bhava,2,ಸ್ಫೂರ್ತಿ,sphūrti,Inspired,,,,"No result. ಸ್ಫೂರ್ತಿ is the everyday word: a sudden welling-up, the same root as a spark.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಸ್ಫೂರ್ತಿ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಬಾರಿಸು ಕನ್ನಡ ಡಿಂಡಿಮವ,ಶಿವಮೊಗ್ಗ ಸುಬ್ಬಣ್ಣ,ಕುವೆಂಪು,48T3gr4AFJo,15
bhava,0,ಅಚ್ಚರಿ,accari,Surprised,,,"ಆಶ್ಚರ್ಯ|āścarya|surprise, the Sanskrit form ;; ವಿಸ್ಮಯ|vismaya|astonishment ;; ಬೆರಗು|beragu|wonder that stops you","ಅಚ್ಚರಿ is the native word and ಆಶ್ಚರ್ಯ the Sanskrit one; both are in daily use, and this wheel uses the shorter.","ಸ್ವರದ ವಿಸ್ತಾರವೇ ಬೆರಗು, ಹೊಳಪು ಮತ್ತು ವಿಸ್ಮಯದ ಹಲವು ಛಾಯೆಗಳನ್ನು ಹೊರುತ್ತದೆ.",ನಾದಮಯ ಈ ಲೋಕವೆಲ್ಲಾ,ಉಪೇಂದ್ರ ಕುಮಾರ್ · ರಾಜಕುಮಾರ್,ಜೀವನ ಚೈತ್ರ · 1992,EkPOkT_a2U0,52
bhava,1,ಬೆಚ್ಚು,beccu,Startled,,,,ಬೆಚ್ಚಿಬೀಳು: to be startled and drop. Kannada builds the flinch out of a fall.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಬೆಚ್ಚು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ದೆನ್ನಾನ ದೆನ್ನಾನ,ಅನೂಪ್ ಭಂಡಾರಿ,ರಂಗಿತರಂಗ · 2015,oepLylgqSKU,20
bhava,2,ಆಘಾತ,āghāta,Shocked,,,,,,,,,,
bhava,2,ಎದೆಗುಂದು,edegundu,Dismayed,,,,Literally 'the chest sinks'. Kannada names the physical event and leaves you to infer the feeling: it does this constantly.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಎದೆಗುಂದು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಬಾನ ದಾರಿಯಲ್ಲಿ ಸೂರ್ಯ ಜಾರಿ ಹೋದ,,ಭಾಗ್ಯದ ಲಕ್ಷ್ಮಿ ಬಾರಮ್ಮ,keMpTLBzX50,28
bhava,1,ಗೊಂದಲ,gondala,Confused,,,"ಕಕ್ಕಾಬಿಕ್ಕಿ|kakkābikki|flustered ;; ತಬ್ಬಿಬ್ಬು|tabbibbu|thrown, at a loss ;; ಗಲಿಬಿಲಿ|galibili|muddle",Confusion as too many voices at once: the word is also used for an actual noisy crowd.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಗೊಂದಲ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಹೇಳು ಶಿವ,,ಲೂಸಿಯಾ,udlrKIs0b-o,32
bhava,2,ಭ್ರಮೆ ಕಳಚು,bhrame kaḷacu,Disillusioned,,,,"The illusion comes unfastened. ಕಳಚು is what a bangle does, or a bolt.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಭ್ರಮೆ ಕಳಚು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಓಳು ಬರಿ ಓಳು,ಗುರುಕಿರಣ್,ಉಪೇಂದ್ರ · 1999,-MKlrMx2k1c,30
bhava,2,ಕಂಗೆಡು,kaṅgeḍu,Perplexed,,,,"ಕಣ್ + ಕೆಡು: the eyes go bad. To be at a loss is, literally, to lose your sight of it.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಕಂಗೆಡು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಯಾರೋ ನಾನು,,ಕನ್ನಡ ಚಿತ್ರಗೀತೆ,uvMAUAKivio,44
