ring,sector_en,english,kannada,transliteration,status,rala_hits,note
branch,Happy,Proud,ಹೆಮ್ಮೆ,hemme,gap,,"rala returns nothing at all for proud. And Kannada would resist a single answer anyway: ಹೆಮ್ಮೆ is warm pride in someone, ಅಭಿಮಾನ is pride-as-loyalty, ಅಹಂಕಾರ is the pride that has gone bad. English collapses all three."
leaf,Happy,Successful,ಸಾರ್ಥಕ,sārthaka,shaped,ಯಶಸ್ವಿ ; ವಿಜಯಿ ; ವಿಜೇತ,"ಯಶಸ್ವಿ is the outcome — you won. ಸಾರ್ಥಕ is the feeling — it had meaning, it was worth it. Only one of those belongs on an emotion wheel."
leaf,Happy,Confident,ಆತ್ಮವಿಶ್ವಾಸ,ātma-viśvāsa,direct,ವಿಶ್ವಾಸವುಳ್ಳ ; ನೆಚ್ಚಿಕೆಯ ; ಧೈರ್ಯದ,Literally 'self-trust'. Kannada builds confidence out of the same root as trusting another person.
branch,Happy,Accepted,ಒಪ್ಪಿಗೆ,oppige,gap,ಅಂಗೀಕೃತ ಟೆಂಡರ್ ⟨accepted tender⟩ ; ಅಂಗೀಕೃತ ಠೇವಣಿ ⟨accepted deposit⟩ ; ಸ್ವೀಕೃತ,"Every hit is procurement paperwork. And Kannada has no noun for the felt state of being accepted — you say it as something others did: ನನ್ನನ್ನು ಒಪ್ಪಿಕೊಂಡರು, 'they took me in'. The feeling lives in a verb, not a noun."
leaf,Happy,Respected,ಗೌರವ,gaurava,shaped,ಆ ಸಂಬಂಧವಾದ ⟨with respect to⟩ ; ಸಂಬಂಧಿಸಿದಂತೆ ⟨in respect of⟩,"rala only found the clerical in respect of. ಗೌರವ is the real word, and in Kannada it is something you give, actively, not something you passively have."
leaf,Happy,Valued,ಮನ್ನಣೆ,mannaṇe,shaped,ಏಕಮೌಲ್ಯ ⟨single-valued⟩ ; ಮೌಲ್ಯ ಸಂದಾಯ ⟨value payable⟩,ಮೌಲ್ಯ is price. ಮನ್ನಣೆ is being recognised and given your due — the thing people leave jobs for the lack of.
branch,Happy,Powerful,ಶಕ್ತಿ,śakti,direct,ಶಕ್ತಿಶಾಲಿ ; ಶಕ್ತಿವಂತ ; ಶಕ್ತನಾದ,
leaf,Happy,Courageous,ಧೈರ್ಯ,dhairya,direct,ಧೈರ್ಯದ ; ಕೆಚ್ಚೆದೆಯ ; ಎದೆಗಾರಿಕೆಯ,"ಧೈರ್ಯ is steadiness under fear. The native alternatives rala offers are more physical: ಕೆಚ್ಚು is heat in the chest, ಎದೆಗಾರಿಕೆ is literally chest-having."
leaf,Happy,Creative,ಸೃಜನಶೀಲತೆ,sṛjanaśīlate,direct,ಸೃಜನಾತ್ಮಕ ; ರಚನಾತ್ಮಕ,
branch,Happy,Peaceful,ನೆಮ್ಮದಿ,nemmadi,shaped,ಶಾಂತಿಯ ; ಶಾಂತಿಯುತ,"The single most important correction on this wheel. ಶಾಂತಿ is peace as the absence of war — treaties, ceasefires, ಶಾಂತಿ ಸಭೆ. ನೆಮ್ಮದಿ is peace of mind, and it is what people actually pray for."
leaf,Happy,Loving,ಪ್ರೀತಿ,prīti,gap,ನೆರಳು ಪ್ರಿಯ ⟨shade-loving⟩,"The only match in 478,680 entries was a botany term for shade-loving plants. Kannada is not short of love words — ಪ್ರೀತಿ, ಮಮತೆ, ವಾತ್ಸಲ್ಯ, ಅಕ್ಕರೆ, ಒಲವು — the dictionary just isn't built to find them from English."
leaf,Happy,Thankful,ಕೃತಜ್ಞತೆ,kṛtajñate,direct,ಕೃತಜ್ಞ ; ಕೃತಜ್ಞನಾದ,Literally 'knowing what was done'. Gratitude as accurate memory.
branch,Happy,Trusting,ನಂಬಿಕೆ,nambike,shaped,ನಂಬಿಕೆ ; ವಿಶ್ವಾಸ ; ನ್ಯಾಸ ಖಾತೆ ⟨trust account⟩ ; ಟ್ರಸ್ಟ್ ಆಡಳಿತ,"Buried under thirty entries of trust deeds and trust accounts. ನಂಬಿಕೆ also means belief and superstition — in Kannada, trusting a person and believing a thing are one act."
leaf,Happy,Sensitive,ಸೂಕ್ಷ್ಮ,sūkṣma,direct,ಸೂಕ್ಷ್ಮಗ್ರಾಹಿ ; ಸಂವೇದನಾಶೀಲ ; ಸೂಕ್ಷ್ಮ,"ಸೂಕ್ಷ್ಮ means fine-grained, subtle-perceiving. Calling someone ಸೂಕ್ಷ್ಮ is praise — unlike English 'sensitive', which is half an accusation."
leaf,Happy,Intimate,ಸಲಿಗೆ,salige,direct,ಸಲಿಗೆ ; ಅನ್ಯೋನ್ಯ ; ಆತ್ಮೀಯ ; ನಿಕಟ,"ಸಲಿಗೆ has no English word. It is the earned licence to be informal with someone — to tease them, take their food, drop the honorific. Intimacy defined as permission, not as feeling."
branch,Happy,Optimistic,ಆಶಾವಾದ,āśāvāda,direct,ಆಶಾವಾದದ ; ಆಶಾಪೂರ್ಣ,
leaf,Happy,Hopeful,ಭರವಸೆ,bharavase,direct,ಭರವಸೆಯ ; ಆಶಾದಾಯಕ,"ಭರವಸೆ is also the word for a promise or an assurance. Hope, in Kannada, is something somebody gave you."
leaf,Happy,Inspired,ಸ್ಫೂರ್ತಿ,sphūrti,gap,,"No result. ಸ್ಫೂರ್ತಿ is the everyday word — a sudden welling-up, the same root as a spark."
core,Surprised,Surprised,ಅಚ್ಚರಿ,accari,direct,ಆಶ್ಚರ್ಯ ; ವಿಸ್ಮಯ ; ಅನಿರೀಕ್ಷಿತ ; ಹಠಾತ್ ತನಿಖೆ ⟨surprise inspection⟩,"ಅಚ್ಚರಿ is the native word, ಆಶ್ಚರ್ಯ the Sanskrit one everyone also uses. Kept ಅಚ್ಚರಿ at the centre because the wheel should sound like speech, not a textbook."
branch,Surprised,Startled,ಬೆಚ್ಚು,beccu,direct,ಚಕಿತಗೊಳಿಸು ; ಗಾಬರಿಪಡಿಸು ; ಬೆದರಿಸು,ಬೆಚ್ಚಿಬೀಳು — to be startled and drop. Kannada builds the flinch out of a fall.
leaf,Surprised,Shocked,ಆಘಾತ,āghāta,direct,ಆಘಾತ ; ದಿಗಿಲುಂಟುಮಾಡು ; ವಿದ್ಯುದಾಘಾತ ⟨electric shock⟩,
leaf,Surprised,Dismayed,ಎದೆಗುಂದು,edegundu,direct,ಎದೆಗುಂದಿಸು ; ಅಧೈರ್ಯ ; ದಿಗಿಲು ; ಹತಾಶೆ,Literally 'the chest sinks'. Kannada names the physical event and leaves you to infer the feeling — it does this constantly.
branch,Surprised,Confused,ಗೊಂದಲ,gondala,shaped,ತುಕ್ಕುಗೆಂಪು ⟨confused flour beetle⟩,"The dictionary's one match for confused is a species of beetle. ಗೊಂದಲ is the real word, and it also means a noisy crowd — confusion as too many voices at once."
leaf,Surprised,Disillusioned,ಭ್ರಮನಿರಸನ,bhrama-nirasana,direct,ಭ್ರಮನಿರಸನಗೊಂಡ,'The dispelling of the illusion' — a precise philosophical term doing everyday emotional work.
leaf,Surprised,Perplexed,ಕಂಗೆಡು,kaṅgeḍu,direct,ಕಂಗೆಡಿಸು ; ವಿಭ್ರಾಂತಿ ತರು,"ಕಣ್ + ಕೆಡು: the eyes go bad. To be at a loss is, literally, to lose your sight of it."
branch,Surprised,Amazed,ಬೆರಗು,beragu,direct,ಬೆರಗುಗೊಳಿಸು ; ಆಶ್ಚರ್ಯಗೊಳ್ಳು ; ಚಕಿತನಾಗು,
leaf,Surprised,Astonished,ವಿಸ್ಮಯ,vismaya,direct,ವಿಸ್ಮಯವನ್ನುಂಟುಮಾಡು ; ಅಚ್ಚರಿಗೊಳಿಸು,
leaf,Surprised,Awe,ಭಯಭಕ್ತಿ,bhaya-bhakti,direct,ಭಯಮಿಶ್ರಿತ ಗೌರವ ; ಭಯ ತುಂಬಿದ ಗೌರವ,"rala could only define it as a phrase: 'respect mixed with fear'. But Kannada does have the compound — ಭಯಭಕ್ತಿ, fear-and-devotion, the standard word for how one stands before a deity or a formidable elder. Awe as a social posture, not a private thrill."
branch,Surprised,Excited,ಉತ್ಸಾಹ,utsāha,direct,ಉತ್ತೇಜಿತ ; ಉದ್ರಿಕ್ತ ; ಉತ್ಸಾಹ,
leaf,Surprised,Eager,ತವಕ,tavaka,direct,ತವಕ ; ಕಾತರದ ; ಉತ್ಸುಕ ; ಉತ್ಕಟ,ತವಕ and ಕಾತರ are both eagerness with an edge of ache — waiting that has begun to hurt slightly.
leaf,Surprised,Energetic,ಹುರುಪು,hurupu,direct,ಹುರುಪು ; ಉತ್ಸಾಹ ; ಶಕ್ತಿಯುತವಾದ,
core,Bad,Bad,ಬೇಸರ,bēsara,gap,ಕೆಟ್ಟ ; ದುರ್ವರ್ತನೆ ⟨bad behaviour⟩ ; ವಸೂಲಾಗದ ಸಾಲ ⟨bad debt⟩ ; ವೈಮನಸ್ಯ ⟨bad blood⟩,"The hardest sector. Kannada's ಕೆಟ್ಟ is moral or qualitative — a bad man, spoiled milk — and cannot be a feeling. But look at what the English wheel actually files under 'Bad': bored, busy, stressed, tired. That whole zone has one Kannada name, ಬೇಸರ — a fused weariness-with-things that English needs four words to circle."
branch,Bad,Bored,ಬೇಜಾರು,bējāru,gap,,"No entry for boredom. ಬೇಜಾರು covers bored, mildly sad, and fed-up in one breath. 'ಬೇಜಾರಾಗಿದೆ' could be any of the three and the listener works it out from your face."
leaf,Bad,Indifferent,ಉದಾಸೀನ,udāsīna,direct,ಉದಾಸೀನ ; ಅಸಡ್ಡೆಯ ; ತಟಸ್ಥ,In philosophy ಉದಾಸೀನ is the sage's equanimity. In an argument it is the coldest insult available.
leaf,Bad,Apathetic,ನಿರಾಸಕ್ತಿ,nirāsakti,direct,ನಿರಾಸಕ್ತ ; ಆಸಕ್ತಿಯಿಲ್ಲದ ; ಭಾವಶೂನ್ಯ,
branch,Bad,Busy,ಧಾವಂತ,dhāvanta,shaped,ಕಾರ್ಯಮಗ್ನ ; ಬಿಡುವಿಲ್ಲದ ; ನಿರತ,rala's words describe a schedule. ಧಾವಂತ describes what the schedule does to you — the harried forward-lean of someone always mid-errand.
leaf,Bad,Pressured,ಒತ್ತಡ,ottaḍa,direct,ಒತ್ತಡ ; ರಕ್ತ ಒತ್ತಡ ⟨blood pressure⟩ ; ವಾತಾವರಣದ ಒತ್ತಡ,"Same word for atmospheric pressure, blood pressure, and social pressure. Kannada did not borrow 'stress' — it extended 'push'."
leaf,Bad,Rushed,ಆತುರ,ātura,shaped,ಧಾವಿಸು ; ಮುನ್ನುಗ್ಗು ; ತೀವ್ರಗತಿ,"ಆತುರ is haste as a character flaw as much as a state — 'ಆತುರಗಾರನಿಗೆ ಬುದ್ಧಿ ಮಟ್ಟ', the hasty man is short on sense."
branch,Bad,Stressed,ತಳಮಳ,taḷamaḷa,shaped,ಒತ್ತಡ ; ಪ್ರತಿಬಲ ⟨tensile stress⟩ ; ಕರ್ತನ ಪ್ರತಿಬಲ ⟨shear stress⟩,Every single hit was materials engineering. ತಳಮಳ is the churn — the word for boiling liquid and for a mind that will not settle.
leaf,Bad,Overwhelmed,ಹೈರಾಣ,hairāṇa,shaped,ಮುಳುಗಿಹೋಗು ; ಭಾವಪರವಶಗೊಳ್ಳು,"English uses one overwhelmed in two places on this wheel. Kannada splits them by how you are swamped: ಹೈರಾಣ is worn down to nothing by too much work; ಕಳವಳ, over in ಭಯ, is being swamped by dread."
leaf,Bad,Restless,ಚಡಪಡಿಕೆ,caḍapaḍike,direct,ಚಡಪಡಿಸುವ ; ತಳಮಳ ; ವ್ಯಾಕುಲ ; ಅಶಾಂತ,"Onomatopoeic — the sound of a fish on dry ground, or a body that cannot stay in the chair."
branch,Bad,Tired,ಆಯಾಸ,āyāsa,shaped,ದಣಿದ ಮಣ್ಣು ⟨tired soil⟩,"The only match was agronomy: exhausted soil. ಆಯಾಸ is bodily fatigue; ದಣಿವು is the gentler, more native version."
leaf,Bad,Sleepy,ಜೋಂಪು,jōmpu,shaped,ತೂಕಡಿಸುವ ; ನಿದ್ದೆ ; ಜಡನಾದ,"ಜೋಂಪು is the specific drowse that comes over you sitting still in the afternoon — not sleep, the slide toward it."
leaf,Bad,Unfocused,ಅನ್ಯಮನಸ್ಕ,anya-manaska,direct,ಅನ್ಯಮನಸ್ಕ ; ಏಕಾಗ್ರತೆಯಿಲ್ಲದ ; ಮರೆಗುಳಿ,"'Other-minded' — your mind is somewhere, just not here. Kinder than 'distracted', which implies something pulled you."
core,Fearful,Fearful,ಭಯ,bhaya,direct,ಭಯ ; ಹೆದರಿಕೆ ; ಅಂಜಿಕೆ ; ಭೀತಿ ; ದಿಗಿಲು ; ಆತಂಕ ; ಗಾಬರಿ,"rala's richest sector — seven distinct words on the first page. Kannada grades fear finely: ಅಂಜಿಕೆ (timid), ಹೆದರಿಕೆ (scared), ದಿಗಿಲು (dread), ಗಾಬರಿ (panic), ಆತಂಕ (anxiety), ಭೀತಿ (terror)."
branch,Fearful,Scared,ಹೆದರಿಕೆ,hedarike,direct,ಹೆದರಿಕೆ ; ಗಾಬರಿ ; ಭೀತಿ ; ಬೆದರುಗೊಂಬೆ ⟨scarecrow⟩,
leaf,Fearful,Helpless,ಅಸಹಾಯಕತೆ,asahāyakate,direct,ಅಸಹಾಯಕ ; ದಿಕ್ಕಿಲ್ಲದ ; ತಬ್ಬಲಿ,rala's ದಿಕ್ಕಿಲ್ಲದ is better than the headword: 'without a direction'. Helplessness as having nowhere to turn — literally no compass point.
leaf,Fearful,Frightened,ಅಂಜಿಕೆ,añjike,direct,ಹೆದರಿಸು ; ಭಯಪಡಿಸು ; ದಿಗಿಲುಗೊಳಿಸು,
branch,Fearful,Anxious,ಆತಂಕ,ātaṅka,direct,ಆತಂಕಗೊಂಡ ; ವ್ಯಾಕುಲತೆ ; ಚಿಂತಾಕ್ರಾಂತ ; ತಲ್ಲಣಗೊಂಡ,ಆತಂಕ is now the standard clinical word too. Its older sense is closer to 'impediment' — anxiety as the thing in your way.
leaf,Fearful,Worried,ಚಿಂತೆ,cinte,direct,ಚಿಂತೆ ; ಕಳವಳ ; ಆತಂಕ ; ಪೇಚಾಟ,"ಚಿಂತೆ is also simply 'thought'. To worry and to think are the same verb, which tells you something."
leaf,Fearful,Overwhelmed,ಕಳವಳ,kaḷavaḷa,shaped,ಕಳವಳಗೊಂಡ ; ವ್ಯಾಕುಲ,The second of the split — see ಹೈರಾಣ under ಬೇಸರ. ಕಳವಳ is being flooded by apprehension rather than by workload.
branch,Fearful,Insecure,ಅಭದ್ರತೆ,abhadrate,direct,ಅಭದ್ರ ; ಅಸುರಕ್ಷಿತ ; ರಕ್ಷಣೆ ರಹಿತ,"Note the frame: Kannada's insecurity is about not being guarded, not about self-doubt. The psychological sense is a recent import."
leaf,Fearful,Inadequate,ಕೊರತೆ,korate,shaped,ಸಾಕಾಗದ ; ಅಸಮರ್ಥ ; ಕೊರತೆಯುಳ್ಳ,"ಕೊರತೆ is a shortfall — of rain, of funds, of oneself. The same word, which quietly makes it feel less like a personal verdict."
leaf,Fearful,Inferior,ಕೀಳರಿಮೆ,kīḷarime,shaped,ಕೀಳು ; ಕಳಪೆ ; ಕೆಳದರ್ಜೆಯ,"rala gives only the judgement (ಕೀಳು, low-grade). ಕೀಳರಿಮೆ is the feeling — 'low-self-knowing', the exact and rather beautiful Kannada for an inferiority complex."
branch,Fearful,Weak,ದುರ್ಬಲ,durbala,direct,ದುರ್ಬಲ ; ಬಲಹೀನ ; ನಿರ್ಬಲ,
leaf,Fearful,Worthless,ನಿಷ್ಪ್ರಯೋಜಕ,niṣprayōjaka,shaped,ಅಯೋಗ್ಯ,"rala offers ಅಯೋಗ್ಯ — but in Kannada that is thrown at someone, not felt about oneself. ನಿಷ್ಪ್ರಯೋಜಕ, 'of no use', is what the feeling actually says."
leaf,Fearful,Insignificant,ಕ್ಷುಲ್ಲಕ,kṣullaka,direct,ಕ್ಷುಲ್ಲಕ ; ಅತ್ಯಲ್ಪ ; ನಿಕೃಷ್ಟ,
branch,Fearful,Rejected,ತಿರಸ್ಕಾರ,tiraskāra,shaped,ಸೋತ ಅಭ್ಯರ್ಥಿ ⟨rejected candidate⟩ ; ತಿರಸ್ಕರಿಸತಕ್ಕದ್ದು ; ಹಕ್ಕು ಸಾಧನೆಗಳು ⟨rejected claims⟩,"ತಿರಸ್ಕಾರ is what the other person did. As with ಒಪ್ಪಿಗೆ, Kannada gives you no noun for the receiving end — rejection is only ever described from outside."
leaf,Fearful,Excluded,ಬಹಿಷ್ಕಾರ,bahiṣkāra,gap,,"No entry. And ಬಹಿಷ್ಕಾರ is heavier than English 'excluded' — it is the word for social boycott and outcasting. In Kannada, being left out has a history attached to it."
leaf,Fearful,Persecuted,ಕಿರುಕುಳ,kirukuḷa,direct,ಕಿರುಕುಳ ಕೊಡು ; ಪೀಡಿಸು ; ಹಿಂಸಿಸು,
branch,Fearful,Threatened,ಬೆದರಿಕೆ,bedarike,gap,,No entry for the adjective. ಬೆದರಿಕೆ is the threat itself; feeling threatened is said as ಬೆದರಿಕೆ ಇದೆ — 'there is a threat' — placing it outside you rather than inside.
leaf,Fearful,Nervous,ನಡುಕ,naḍuka,shaped,ನಡುಗುವ ; ಅಂಜುಬುರುಕ ; ನರವ್ಯೂಹ ⟨nervous system⟩,Most hits were neuroanatomy. ನಡುಕ is the tremble itself — Kannada again naming the body and letting the feeling follow.
leaf,Fearful,Exposed,ಬಟಾಬಯಲು,baṭā-bayalu,shaped,ಗುಟ್ಟುರಟ್ಟಾದ ; ಸುರಕ್ಷಣೆ ಇಲ್ಲದ ; ಬಹಿರಂಗಗೊಳಿಸಿದ,"ಬಟಾಬಯಲು is open ground with not one thing to hide behind — used for landscape and for people, with no change of tone."
core,Angry,Angry,ಕೋಪ,kōpa,direct,ಕೋಪ ; ಸಿಟ್ಟು ; ಸಿಡುಕು ; ರೋಷ ; ಮುನಿಸು ; ಕ್ರೋಧ ; ತಾಪ,"Kannada separates anger by heat and by intimacy: ಸಿಟ್ಟು is hot and quick, ಕೋಪ is the general word, ಕ್ರೋಧ is grand and destructive, ಸಿಡುಕು is chronic and worn on the face — and ಮುನಿಸು is the anger you only get to have with someone who loves you."
branch,Angry,Let down,ಕೈಕೊಟ್ಟರು,kai-koṭṭaru,gap,ಹಾಲೊಸರಿಕೆ ⟨milk let-down⟩,"rala's single match for let down is the dairy term for milk ejection. Kannada has no noun here either — you say ಕೈಕೊಟ್ಟರು, 'they gave me the hand', meaning they withdrew it at the moment you leaned on it."
leaf,Angry,Betrayed,ದ್ರೋಹ,drōha,direct,ದ್ರೋಹ ಮಾಡು ; ವಿಶ್ವಾಸಘಾತ ; ವಂಚಿಸು,ದ್ರೋಹ is grave — the word used for treason and for betraying a guru. Kannada does not have a casual register for this.
leaf,Angry,Resentful,ಅಸಮಾಧಾನ,asamādhāna,direct,ಅಸಮಾಧಾನ ; ಜಿದ್ದು ; ಕರುಬು ; ಹಗೆತನ,"Literally 'un-settledness' — the negation of ಸಮಾಧಾನ, consolation. Resentment as a grievance that was never talked down."
branch,Angry,Humiliated,ಅವಮಾನ,avamāna,direct,ಅವಮಾನಿಸು ; ತೇಜೋವಧೆ ; ಮರ್ಯಾದೆ ಕಳೆ,rala's ತೇಜೋವಧೆ is worth keeping: 'the murder of someone's lustre'. Humiliation as an assassination of light.
leaf,Angry,Disrespected,ಅಗೌರವ,agaurava,direct,ಅಗೌರವ ; ಅವಮಾನ ; ಉಪೇಕ್ಷೆ ; ಅವಮರ್ಯಾದೆ,
leaf,Angry,Ridiculed,ಅಪಹಾಸ್ಯ,apahāsya,direct,ಅಪಹಾಸ್ಯ ; ಗೇಲಿ ; ಅವಹೇಳನ ; ಅಣಕಿಸು,"ಅಪಹಾಸ್ಯ is 'laughter turned bad' — the same root as ಹಾಸ್ಯ, mirth, which is one of the nine rasas. The wound is that a good thing was aimed at you."
branch,Angry,Bitter,ಕಹಿ,kahi,shaped,ಹಾಗಲಕಾಯಿ ⟨bitter gourd⟩ ; ಕಹಿಗುಳಿಗೆ ⟨bitter pill⟩ ; ಕ್ರೂರ ; ಕಠಿಣ,"rala gives mostly vegetables. But the metaphor is alive in Kannada too — ಮನಸ್ಸಿನಲ್ಲಿ ಕಹಿ, bitterness in the mind — so the taste-word earns its place here on its own terms, not as a calque."
leaf,Angry,Indignant,ಆಕ್ರೋಶ,ākrōśa,shaped,ಕುಪಿತ ; ಕೆರಳಿದ ; ರೇಗಿದ,"rala's words are plain anger. ಆಕ್ರೋಶ is anger with a case to argue — literally an outcry, the anger of protest."
leaf,Angry,Violated,ಭಂಗ,bhaṅga,gap,ಉಲ್ಲಂಘಿಸು ⟨violate a rule⟩ ; ಮಾನಭಂಗ ⟨sexual assault⟩,A real hole. rala's options are either legal (breaking a rule) or the specific term for sexual assault. There is no neutral Kannada for 'I feel violated' — the therapeutic middle register simply hasn't been built yet.
branch,Angry,Mad,ಸಿಟ್ಟು,siṭṭu,direct,ಸಿಟ್ಟು ; ಹುಚ್ಚು ⟨insane⟩ ; ಮತಿಗೆಟ್ಟ,"English 'mad' means both furious and insane; so does rala's answer set. Kannada keeps them apart cleanly — ಸಿಟ್ಟು is anger, ಹುಚ್ಚು is madness, and no one confuses them."
leaf,Angry,Furious,ರೋಷ,rōṣa,direct,ರೋಷಾವೇಶದ ; ಕ್ರೋಧಾವಿಷ್ಟ ; ಉಗ್ರ ; ಪ್ರಚಂಡ,
leaf,Angry,Jealous,ಹೊಟ್ಟೆಕಿಚ್ಚು,hoṭṭe-kiccu,shaped,ಅಸೂಯೆಯ ; ಮಾತ್ಸರ್ಯದ,rala's ಅಸೂಯೆ and ಮಾತ್ಸರ್ಯ are correct and literary. But nobody says them at home. They say ಹೊಟ್ಟೆಕಿಚ್ಚು — belly-fire — and everyone knows exactly which organ is burning.
branch,Angry,Aggressive,ಆಕ್ರಮಣ,ākramaṇa,direct,ಆಕ್ರಮಣಶೀಲ ; ಜಗಳಗಂಟ ; ಮೇಲೆ ಬೀಳುವ,"The full adjective is ಆಕ್ರಮಣಶೀಲ, shortened here to fit. rala's ಜಗಳಗಂಟ — 'quarrel-knot', a person who ties fights — is the everyday version."
leaf,Angry,Provoked,ಕೆರಳಿಕೆ,keraḷike,direct,ಕೆರಳಿಸು ; ಕೆಣಕು ; ಪ್ರಚೋದಿಸು ; ರೇಗಿಸು,ಕೆಣಕು is the good one: to poke a thing that was sitting quietly.
leaf,Angry,Hostile,ಹಗೆತನ,hagetana,direct,ಹಗೆಯ ; ವೈರದ ; ಶತ್ರುತ್ವದ ; ಪ್ರತಿಕೂಲ,"ಹಗೆ is the old native word for enemy, and it is heavy — the enmity of feuds and epics, not of office politics."
branch,Angry,Frustrated,ರೇಜಿಗೆ,rējige,shaped,ಆಶಾಭಂಗ ಹೊಂದಿದ ; ವಿಫಲವಾದ ; ಭಗ್ನ ; ನಿಷ್ಫಲಗೊಳಿಸು,rala reads frustrate as 'to thwart' — an outcome. Frustration as an ongoing state is ರೇಜಿಗೆ: exasperation at something that keeps not working.
leaf,Angry,Infuriated,ಕೆಂಡಾಮಂಡಲ,keṇḍā-maṇḍala,shaped,ರೇಗಿಸು ; ಕೆರಳಿಸು,"'A whole mandala of live coals.' One of the finest anger words in the language, and unfindable from English."
leaf,Angry,Annoyed,ಕಿರಿಕಿರಿ,kirikiri,direct,ಕಿರಿಕಿರಿಮಾಡು ; ರೇಗಿಸು ; ಕಾಡಿಸು,Onomatopoeia again — the sound of a small grating thing. Kannada builds its minor irritations out of noise.
branch,Angry,Distant,ಬಿಗುಮಾನ,bigumāna,direct,ಬಿಗುಮಾನದ ; ಸಲಿಗೆ ಇಲ್ಲದ ; ದೂರದ,"rala found it exactly. ಬಿಗುಮಾನ is stiffness held on purpose — reserve that is also a kind of self-regard. And note its opposite in rala's own list: ಸಲಿಗೆ ಇಲ್ಲದ, 'without ಸಲಿಗೆ'."
leaf,Angry,Withdrawn,ಮುದುಡು,muduḍu,shaped,ವಾಪಸ್ಸು ಪಡೆದ ⟨withdrawn application⟩ ; ಹಿಂದಕ್ಕೆ ಪಡೆದ,rala only knows withdrawn tenders. ಮುದುಡು is what a leaf or a touched mimosa does — to fold inward. Exactly right for a person.
leaf,Angry,Numb,ಮರಗಟ್ಟುವಿಕೆ,maragaṭṭuvike,direct,ಮರಗಟ್ಟಿದ ; ಜೋಮುಹಿಡಿದ ; ಜಡವಾದ,ಮರ + ಕಟ್ಟು: to turn to wood. Used for a foot that has gone to sleep and for a grief that has stopped registering.
